epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,493.125,1.20087,1.80147,1.44716,0.76244,0.768,0.76223,0.47984,1.28867,1.60888,1.58078,0.00047547,0.00047547,0.00047547
2,800.017,1.17472,1.2911,1.43269,0.75317,0.74493,0.73552,0.46174,1.28568,1.31749,1.58403,0.000932958,0.000932958,0.000932958
3,1048.32,1.15884,1.15341,1.42356,0.79708,0.80426,0.79576,0.55442,1.15412,1.0983,1.43588,0.00137158,0.00137158,0.00137158
4,1286.81,1.12008,1.07689,1.38893,0.81618,0.83043,0.83746,0.59548,1.0516,0.97068,1.36174,0.00134412,0.00134412,0.00134412
5,1510.22,1.07153,0.99674,1.34523,0.81855,0.80015,0.83509,0.58755,1.00736,0.97249,1.31069,0.00131582,0.00131582,0.00131582
6,1738.05,1.04652,0.96199,1.32717,0.87423,0.85067,0.85862,0.61822,0.99205,0.85943,1.30169,0.00128753,0.00128753,0.00128753
7,1991.32,1.00746,0.9227,1.30243,0.86906,0.8376,0.85467,0.61901,0.98548,0.89014,1.2896,0.00125923,0.00125923,0.00125923
8,2239.8,0.97477,0.89855,1.28282,0.87622,0.86562,0.86967,0.6272,0.99934,0.86846,1.29279,0.00123094,0.00123094,0.00123094
9,2489.84,0.95515,0.87162,1.27084,0.88044,0.86938,0.86458,0.63007,0.94198,0.84716,1.27102,0.00120265,0.00120265,0.00120265
10,2740.56,0.94678,0.85,1.26179,0.85416,0.87716,0.87253,0.63584,0.96046,0.8029,1.25801,0.00117435,0.00117435,0.00117435
11,2983.03,0.91691,0.83596,1.24175,0.88368,0.86054,0.88007,0.66972,0.90713,0.81145,1.21284,0.00114606,0.00114606,0.00114606
12,3231.93,0.90761,0.81313,1.23308,0.88021,0.8589,0.89161,0.65796,0.89011,0.77388,1.20898,0.00111776,0.00111776,0.00111776
13,3477.75,0.89779,0.81301,1.22909,0.8751,0.87244,0.88761,0.68029,0.87736,0.79733,1.18743,0.00108947,0.00108947,0.00108947
14,3718.79,0.86698,0.77987,1.21025,0.87134,0.87918,0.89454,0.63068,0.92591,0.76326,1.25732,0.00106118,0.00106118,0.00106118
15,3977.03,0.86466,0.78043,1.21124,0.86684,0.87257,0.88487,0.69845,0.86236,0.77435,1.18527,0.00103288,0.00103288,0.00103288
16,4291.13,0.84481,0.75796,1.19457,0.89663,0.86652,0.89225,0.67448,0.92696,0.76118,1.24307,0.00100459,0.00100459,0.00100459
17,4542.64,0.82589,0.74923,1.18274,0.88286,0.87479,0.90905,0.69678,0.86664,0.71738,1.18353,0.000976293,0.000976293,0.000976293
18,4783.21,0.82265,0.7417,1.18371,0.88203,0.85476,0.89242,0.70289,0.85643,0.74657,1.17821,0.000947999,0.000947999,0.000947999
19,5087.36,0.81434,0.71922,1.18106,0.89255,0.87305,0.89723,0.71503,0.852,0.70266,1.16248,0.000919704,0.000919704,0.000919704
20,5360.7,0.80766,0.71326,1.17666,0.87749,0.88026,0.89941,0.70402,0.82435,0.7222,1.1471,0.00089141,0.00089141,0.00089141
21,5614.78,0.79686,0.70186,1.16535,0.91504,0.85978,0.90992,0.71524,0.81892,0.69402,1.14179,0.000863116,0.000863116,0.000863116
