epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,568.777,1.20087,1.80147,1.44716,0.76244,0.768,0.76223,0.47984,1.24818,1.55459,1.55931,0.00047547,0.00047547,0.00047547
2,1021.89,1.17472,1.2911,1.43269,0.75317,0.74493,0.73552,0.46174,1.25424,1.29367,1.57585,0.000932958,0.000932958,0.000932958
3,1343.56,1.15884,1.15341,1.42356,0.79708,0.80426,0.79576,0.55442,1.088,1.06284,1.40714,0.00137158,0.00137158,0.00137158
4,1639.59,1.12008,1.07689,1.38893,0.81618,0.83043,0.83746,0.59548,1.00483,0.93271,1.34315,0.00134412,0.00134412,0.00134412
5,1953.43,1.07153,0.99674,1.34523,0.81855,0.80015,0.83509,0.58755,0.96367,0.92843,1.29399,0.00131582,0.00131582,0.00131582
6,2251.06,1.04652,0.96199,1.32717,0.87423,0.85067,0.85862,0.61822,0.94479,0.82335,1.27696,0.00128753,0.00128753,0.00128753
7,2550.11,1.00746,0.9227,1.30243,0.86906,0.8376,0.85467,0.61901,0.94931,0.85581,1.27876,0.00125923,0.00125923,0.00125923
8,2837.78,0.97477,0.89855,1.28282,0.87622,0.86562,0.86967,0.6272,0.95806,0.8227,1.27622,0.00123094,0.00123094,0.00123094
9,3130.6,0.95515,0.87162,1.27084,0.88044,0.86938,0.86458,0.63007,0.91632,0.81942,1.26,0.00120265,0.00120265,0.00120265
10,3422.44,0.94678,0.85,1.26179,0.85416,0.87716,0.87253,0.63584,0.91103,0.76967,1.24004,0.00117435,0.00117435,0.00117435
11,3723.84,0.91691,0.83596,1.24175,0.88368,0.86054,0.88007,0.66972,0.85058,0.75911,1.18761,0.00114606,0.00114606,0.00114606
12,4190.43,0.90761,0.81313,1.23308,0.88021,0.8589,0.89161,0.65796,0.85536,0.73559,1.19413,0.00111776,0.00111776,0.00111776
13,4565.27,0.89779,0.81301,1.22909,0.8751,0.87244,0.88761,0.68029,0.85032,0.73326,1.17861,0.00108947,0.00108947,0.00108947
14,4886.7,0.86698,0.77987,1.21025,0.87134,0.87918,0.89454,0.63068,0.88195,0.72782,1.23117,0.00106118,0.00106118,0.00106118
